caldate_master,caldate_slave,dyear_master,dyear_slave,dVrate_m3peryr,dVunc_m3peryr
20031221,20031222,2003.96789119558,2003.97062910258,504249030,260983778.80627
20031222,20031223,2003.97062910258,2003.97336700959,201029977,246397048.07485
20031223,20031224,2003.97336700959,2003.9761049166,-717756324,245989972.153338
20031224,20031225,2003.9761049166,2003.9788428236,1331394900,244083472.607221
20031225,20031226,2003.9788428236,2003.98158073061,-717628917,239217653.612772
20031226,20031227,2003.98158073061,2003.98431863762,-330364094,238534262.109241
20031227,20031228,2003.98431863762,2003.98705654462,-110751775,238317738.953692
20031228,20031229,2003.98705654462,2003.98979445163,-102357000,237810624.026766
20031229,20031230,2003.98979445163,2003.99253235864,326765984,235907221.805523
20031230,20031231,2003.99253235864,2003.99527026565,-317469196,236781684.891378
20031231,20040101,2003.99527026565,2003.99800817265,835194256,238095709.117153
20040101,20040102,2003.99800817265,2004.00074607966,-335682636,238447916.115868
20040102,20040103,2004.00074607966,2004.00348398667,353765750,239077556.872242
20040103,20040104,2004.00348398667,2004.00622189367,-845285511,237959410.824619
20040104,20040105,2004.00622189367,2004.00895980068,-70666907.1,243971110.789782
20040105,20040106,2004.00895980068,2004.01169770769,60746076.7,245035381.934936
20040106,20040107,2004.01169770769,2004.01443561469,415705735,246451897.740715
20040107,20040108,2004.01443561469,2004.0171735217,-100133590,252537998.526954
20040108,20040109,2004.0171735217,2004.01991142871,-617068503,245017340.202689
20040109,20040110,2004.01991142871,2004.02264933572,89216677.6,241782893.108673
20040110,20040111,2004.02264933572,2004.02538724272,108125637,251188317.602551
20040111,20040112,2004.02538724272,2004.02812514973,-124609804,252241636.729546
20040112,20040113,2004.02812514973,2004.03086305674,-248275239,241984409.828402
20040113,20040114,2004.03086305674,2004.03360096374,450145236,236846586.633627
20040114,20040115,2004.03360096374,2004.03633887075,-222762629,241413054.535168
20040115,20040116,2004.03633887075,2004.03907677776,106517139,248212343.568969
20040116,20040117,2004.03907677776,2004.04181468476,79992231.1,246295311.973249
20040117,20040118,2004.04181468476,2004.04455259177,39173307,241955470.076624
20040118,20040119,2004.04455259177,2004.04729049878,-142033828,240438420.182799
20040119,20040120,2004.04729049878,2004.05002840579,-191151149,239133117.73989
20040120,20040121,2004.05002840579,2004.05276631279,331422443,244568777.238633
20040121,20040122,2004.05276631279,2004.0555042198,-36252662.9,244316957.864165
20040122,20040123,2004.0555042198,2004.05824212681,-85499206.9,242574876.481469
20040123,20040124,2004.05824212681,2004.06098003381,65985641.2,243266328.948336
20040124,20040125,2004.06098003381,2004.06371794082,240162813,243655316.789928
20040125,20040126,2004.06371794082,2004.06645584783,-65168356.1,244341128.547774
20040126,20040127,2004.06645584783,2004.06919375483,-186008438,244369041.001515
20040127,20040128,2004.06919375483,2004.07193166184,666012523,244046850.625039
20040128,20040129,2004.07193166184,2004.07466956885,-566964754,243970487.559459
20040129,20040130,2004.07466956885,2004.07740747586,-32512917,242739815.028355
20040130,20040131,2004.07740747586,2004.08014538286,648252849,238550031.230348
20040131,20040201,2004.08014538286,2004.08288328987,-539739539,236299659.9659
20040201,20040202,2004.08288328987,2004.08562119688,-256394026,235981003.260856
20040202,20040203,2004.08562119688,2004.08835910388,715521008,236284682.95681
20040203,20040204,2004.08835910388,2004.09109701089,-336720419,238211784.133363
20040204,20040205,2004.09109701089,2004.0938349179,-269170517,242191029.767826
20040205,20040206,2004.0938349179,2004.0965728249,-163245252,247612817.923467
20040206,20040207,2004.0965728249,2004.09931073191,604799399,246034076.704834
20040207,20040208,2004.09931073191,2004.10204863892,-244712754,240726164.759878
20040208,20040209,2004.10204863892,2004.10478654592,78046849.1,238762563.857905
20040209,20040210,2004.10478654592,2004.10752445293,87316018.4,237347576.772968
20040210,20040211,2004.10752445293,2004.11026235994,-342570496,236579521.514437
20040211,20040212,2004.11026235994,2004.11300026695,226227193,237523447.053128
20040212,20040213,2004.11300026695,2004.11573817395,-812665.466,240091055.018716
20040213,20040214,2004.11573817395,2004.11847608096,-23122260.8,240031819.557325
20040214,20040215,2004.11847608096,2004.12121398797,212522242,242121788.156291
20040215,20040216,2004.12121398797,2004.12395189497,-528694683,242872381.715172
20040216,20040217,2004.12395189497,2004.12668980198,189659021,240787943.219755
20040217,20040218,2004.12668980198,2004.12942770899,413232161,240328678.480118
20040218,20040219,2004.12942770899,2004.13216561599,-27073968.5,239639737.731454
20040219,20040220,2004.13216561599,2004.134903523,13130507.1,237212904.370736
20040220,20040221,2004.134903523,2004.13764143001,-296506185,234699462.078634
20040221,20040222,2004.13764143001,2004.14037933702,352628158,234714014.28121
20040222,20040223,2004.14037933702,2004.14311724402,728770117,234800443.781523
20040223,20040224,2004.14311724402,2004.14585515103,-1029036910,234641664.032627
20040224,20040225,2004.14585515103,2004.14859305804,11691119.5,234788706.500121
20040225,20040226,2004.14859305804,2004.15133096504,26811758.9,234157410.303411
20040226,20040227,2004.15133096504,2004.15406887205,300479056,234632571.907653
20040227,20040228,2004.15406887205,2004.15680677906,-304103080,235807622.014217
20040228,20040229,2004.15680677906,2004.15954468606,-100523725,235564366.575253
20040229,20040301,2004.15954468606,2004.16228259307,209920055,235711451.779501
20040301,20040302,2004.16228259307,2004.16502050008,-129026738,236053831.784193
20040302,20040303,2004.16502050008,2004.16775840709,-222302366,237954094.942701
20040303,20040304,2004.16775840709,2004.17049631409,136531813,239791457.103876
20040304,20040305,2004.17049631409,2004.1732342211,-108880433,239309151.308511
20040305,20040306,2004.1732342211,2004.17597212811,-56205603.4,237344795.814022
20040306,20040307,2004.17597212811,2004.17871003511,-89514216.6,235149014.669422
20040307,20040308,2004.17871003511,2004.18144794212,-147793008,234695475.670069
20040308,20040309,2004.18144794212,2004.18418584913,342162373,235415599.313215
20040309,20040310,2004.18418584913,2004.18692375613,218477249,235269729.884658
20040310,20040311,2004.18692375613,2004.18966166314,-146875118,235786759.382286
20040311,20040312,2004.18966166314,2004.19239957015,172168597,236154797.537547
20040312,20040313,2004.19239957015,2004.19513747716,-205637973,237070467.793861
20040313,20040314,2004.19513747716,2004.19787538416,-240423724,237133568.479876
20040314,20040315,2004.19787538416,2004.20061329117,263614635,241218327.454611
20040315,20040316,2004.20061329117,2004.20335119818,-244266853,242897967.467824
20040316,20040317,2004.20335119818,2004.20608910518,359782370,241082076.894986
20040317,20040318,2004.20608910518,2004.20882701219,-307684057,244090123.31514
20040318,20040319,2004.20882701219,2004.2115649192,277466012,243763246.409298
20040319,20040320,2004.2115649192,2004.2143028262,-239913019,241836162.308287
20040320,20040321,2004.2143028262,2004.21704073321,-379933222,240646354.63684
20040321,20040322,2004.21704073321,2004.21977864022,406052569,241161059.667601
20040322,20040323,2004.21977864022,2004.22251654723,134626476,241539537.964284
20040323,20040324,2004.22251654723,2004.22525445423,222573414,241371095.825494
20040324,20040325,2004.22525445423,2004.22799236124,306053884,241531444.536731
20040325,20040326,2004.22799236124,2004.23073026825,-86644008,241836203.038338
20040326,20040327,2004.23073026825,2004.23346817525,-427449259,242151870.114604
20040327,20040328,2004.23346817525,2004.23620608226,-239184991,241391597.202554
20040328,20040329,2004.23620608226,2004.23894398927,210849086,240655999.094143
20040329,20040330,2004.23894398927,2004.24168189627,-68208314.7,240171701.28889
20040330,20040331,2004.24168189627,2004.24441980328,281208083,237874327.95491
20040331,20040401,2004.24441980328,2004.24715771029,27880743.4,236974181.716068
20040401,20040402,2004.24715771029,2004.2498956173,-192008191,237637739.427053
20040402,20040403,2004.2498956173,2004.2526335243,82918124.8,236448588.492298
20040403,20040404,2004.2526335243,2004.25537143131,-317782084,236448588.492298
20040404,20040405,2004.25537143131,2004.25810933832,461921731,237163326.212128
20040405,20040406,2004.25810933832,2004.26084724532,-18962750.9,235149280.032919
20040406,20040407,2004.26084724532,2004.26358515233,24805211.8,235338864.4062
20040407,20040408,2004.26358515233,2004.26632305934,-39601774.8,235666255.327317
20040408,20040409,2004.26632305934,2004.26906096634,253200600,234330446.591987
20040409,20040410,2004.26906096634,2004.27179887335,-473991398,234326800.857264
20040410,20040411,2004.27179887335,2004.27453678036,50663603.5,233744899.409591
20040411,20040412,2004.27453678036,2004.27727468737,282752343,233658367.922058
20040412,20040413,2004.27727468737,2004.28001259437,-462114917,240052787.736364
20040413,20040414,2004.28001259437,2004.28275050138,364136220,242594983.460087
20040414,20040415,2004.28275050138,2004.28548840839,126872436,236559938.916123
20040415,20040416,2004.28548840839,2004.28822631539,619718683,234805270.38378
20040416,20040417,2004.28822631539,2004.2909642224,-957268287,234159572.51413
20040417,20040418,2004.2909642224,2004.29370212941,31656893.4,233555437.958528
20040418,20040419,2004.29370212941,2004.29644003641,-198294079,234458385.433322
20040419,20040420,2004.29644003641,2004.29917794342,-16080357.1,237669639.6261
20040420,20040421,2004.29917794342,2004.30191585043,230387847,237880897.509657
20040421,20040422,2004.30191585043,2004.30465375744,483611240,234678426.788659
20040422,20040423,2004.30465375744,2004.30739166444,-493242479,236343498.747057
20040423,20040424,2004.30739166444,2004.31012957145,-63491555.6,236596144.516347
20040424,20040425,2004.31012957145,2004.31286747846,18097618.6,234789333.445964
20040425,20040426,2004.31286747846,2004.31560538546,28648726,236962456.731019
20040426,20040427,2004.31560538546,2004.31834329247,-138627745,236627268.293407
20040427,20040428,2004.31834329247,2004.32108119948,83078808.4,238860324.038966
20040428,20040429,2004.32108119948,2004.32381910648,-37453920.6,241006733.515892
20040429,20040430,2004.32381910648,2004.32655701349,180524257,246216982.558068
20040430,20040501,2004.32655701349,2004.3292949205,-80008014.8,247622106.848318
20040501,20040502,2004.3292949205,2004.3320328275,104099524,245430040.948536
20040502,20040503,2004.3320328275,2004.33477073451,175632688,242823086.011195
20040503,20040504,2004.33477073451,2004.33750864152,-67699149.4,239850151.969933
20040504,20040505,2004.33750864152,2004.34024654853,-189485568,241279495.19178
20040505,20040506,2004.34024654853,2004.34298445553,31910743.2,244021735.507311
20040506,20040507,2004.34298445553,2004.34572236254,-319394139,246049922.5767
20040507,20040508,2004.34572236254,2004.34846026955,280852744,243077547.502849
20040508,20040509,2004.34846026955,2004.35119817655,81832585,244605132.407315
20040509,20040510,2004.35119817655,2004.35393608356,-234648346,246757589.143678
20040510,20040511,2004.35393608356,2004.35667399057,756719800,242844224.761471
20040511,20040512,2004.35667399057,2004.35941189758,-195622399,242204129.196841
20040512,20040513,2004.35941189758,2004.36214980458,-356140042,245420909.663378
20040513,20040514,2004.36214980458,2004.36488771159,301196027,241587880.283759
20040514,20040515,2004.36488771159,2004.3676256186,93410921.4,237030520.819577
20040515,20040516,2004.3676256186,2004.3703635256,-236017265,235732428.61346
20040516,20040517,2004.3703635256,2004.37310143261,325613482,235560545.295684
20040517,20040518,2004.37310143261,2004.37583933962,-647848898,235685800.166238
20040518,20040519,2004.37583933962,2004.37857724662,437228734,235707828.253539
20040519,20040520,2004.37857724662,2004.38131515363,138087168,235346967.050778
20040520,20040521,2004.38131515363,2004.38405306064,-338483803,235217191.336008
20040521,20040522,2004.38405306064,2004.38679096764,84559258.3,234240096.909133
20040522,20040523,2004.38679096764,2004.38952887465,121364872,233072227.860807
20040523,20040524,2004.38952887465,2004.39226678166,331689246,232485744.294139
20040524,20040525,2004.39226678166,2004.39500468867,-386111384,237207360.762688
20040525,20040526,2004.39500468867,2004.39774259567,-181222792,237759675.723197
20040526,20040527,2004.39774259567,2004.40048050268,501317799,235756412.00188
20040527,20040528,2004.40048050268,2004.40321840969,-852588195,238518770.749809
20040528,20040529,2004.40321840969,2004.40595631669,618973486,236977446.395221
20040529,20040530,2004.40595631669,2004.4086942237,35084758.6,236111210.026123
20040530,20040531,2004.4086942237,2004.41143213071,-148607821,235233986.702602
20040531,20040601,2004.41143213071,2004.41417003771,341500053,233267070.114922
20040601,20040602,2004.41417003771,2004.41690794472,-481886060,233346869.274049
20040602,20040603,2004.41690794472,2004.41964585173,-39280847.3,233133696.62063
20040603,20040604,2004.41964585173,2004.42238375874,-143809899,232545846.232523
20040604,20040605,2004.42238375874,2004.42512166574,304977827,233339544.655423
20040605,20040606,2004.42512166574,2004.42785957275,134332201,234727585.298362
20040606,20040607,2004.42785957275,2004.43059747976,172166646,234874267.215461
20040607,20040608,2004.43059747976,2004.43333538676,176555978,234834828.123939
20040608,20040609,2004.43333538676,2004.43607329377,-230528722,236464812.39288
20040609,20040610,2004.43607329377,2004.43881120078,-212742403,236418851.40572
20040610,20040611,2004.43881120078,2004.44154910778,99319330.8,235204736.346869
20040611,20040612,2004.44154910778,2004.44428701479,-268921568,235936320.222216
20040612,20040613,2004.44428701479,2004.4470249218,-14755362,249887273.585511
20040613,20040614,2004.4470249218,2004.44976282881,-36950476.5,250350425.204352
20040614,20040615,2004.44976282881,2004.45250073581,191338715,237368744.572658
20040615,20040616,2004.45250073581,2004.45523864282,51230133.2,237305294.504779
20040616,20040617,2004.45523864282,2004.45797654983,-259025350,239005924.821959
20040617,20040618,2004.45797654983,2004.46071445683,50954941.1,238832087.040247
20040618,20040619,2004.46071445683,2004.46345236384,37117657.8,238431848.124364
20040619,20040620,2004.46345236384,2004.46619027085,132276044,239962380.17656
20040620,20040621,2004.46619027085,2004.46892817785,602672989,239793927.779667
20040621,20040622,2004.46892817785,2004.47166608486,-531200696,240585471.298663
20040622,20040623,2004.47166608486,2004.47440399187,-19975120.6,240244870.080508
20040623,20040624,2004.47440399187,2004.47714189888,-284392030,239680552.193957
20040624,20040625,2004.47714189888,2004.47987980588,-188726176,241567935.579207
20040625,20040626,2004.47987980588,2004.48261771289,292872060,242815145.944399
20040626,20040627,2004.48261771289,2004.4853556199,-303973085,240672313.945747
20040627,20040628,2004.4853556199,2004.4880935269,404463585,237560358.014548
20040628,20040629,2004.4880935269,2004.49083143391,-157516575,236939449.438037
20040629,20040630,2004.49083143391,2004.49356934092,-95946879,236477096.776834
20040630,20040701,2004.49356934092,2004.49630724792,-166897637,239478248.490338
20040701,20040702,2004.49630724792,2004.49904515493,-141238940,240283808.027091
20040702,20040703,2004.49904515493,2004.50178306194,230389699,238183655.820461
20040703,20040704,2004.50178306194,2004.50452096895,-239898672,237103660.87431
20040704,20040705,2004.50452096895,2004.50725887595,145859932,235313510.874323
20040705,20040706,2004.50725887595,2004.50999678296,-268740388,236422413.912049
20040706,20040707,2004.50999678296,2004.51273468997,350900795,237995931.47783
20040707,20040708,2004.51273468997,2004.51547259697,251008627,236719256.293188
20040708,20040709,2004.51547259697,2004.51821050398,-382799242,236545963.820988
20040709,20040710,2004.51821050398,2004.52094841099,-224701302,238301383.755949
20040710,20040711,2004.52094841099,2004.52368631799,259022243,235285038.198352
20040711,20040712,2004.52368631799,2004.526424225,-46959341.1,232911241.678026
20040712,20040713,2004.526424225,2004.52916213201,-117424356,233176663.712302
20040713,20040714,2004.52916213201,2004.53190003902,453784102,232640670.992843
20040714,20040715,2004.53190003902,2004.53463794602,-165077364,236310208.201
20040715,20040716,2004.53463794602,2004.53737585303,-170288742,242454170.10231
20040716,20040717,2004.53737585303,2004.54011376004,172185761,240158202.233444
20040717,20040718,2004.54011376004,2004.54285166704,102947238,233754652.360119
20040718,20040719,2004.54285166704,2004.54558957405,109830510,234746243.633418
20040719,20040720,2004.54558957405,2004.54832748106,-40978383.5,235713542.037788
20040720,20040721,2004.54832748106,2004.55106538806,182083009,233147684.74081
20040721,20040722,2004.55106538806,2004.55380329507,13609738.4,233099847.704798
20040722,20040723,2004.55380329507,2004.55654120208,-262823111,236524849.011684
20040723,20040724,2004.55654120208,2004.55927910909,205776301,234988983.358795
20040724,20040725,2004.55927910909,2004.56201701609,-50992163.4,232074338.305639
20040725,20040726,2004.56201701609,2004.5647549231,-231143373,235437345.380889
20040726,20040727,2004.5647549231,2004.56749283011,159844378,235566963.091177
20040727,20040728,2004.56749283011,2004.57023073711,-222352257,232664991.565126
20040728,20040729,2004.57023073711,2004.57296864412,409512375,233297932.481195
20040729,20040730,2004.57296864412,2004.57570655113,82708883.7,232424037.268093
20040730,20040731,2004.57570655113,2004.57844445813,-367639005,230862964.115078
20040731,20040801,2004.57844445813,2004.58118236514,36606045.2,230520274.162599
20040801,20040802,2004.58118236514,2004.58392027215,-270988015,230288752.656312
20040802,20040803,2004.58392027215,2004.58665817915,270040871,232366217.639312
20040803,20040804,2004.58665817915,2004.58939608616,399350846,233622287.89223
20040804,20040805,2004.58939608616,2004.59213399317,-206360599,234231767.913748
20040805,20040806,2004.59213399317,2004.59487190018,-51850904.1,234685013.582035
20040806,20040807,2004.59487190018,2004.59760980718,-51481069,232609026.909963
20040807,20040808,2004.59760980718,2004.60034771419,-76475821.4,231381499.044327
20040808,20040809,2004.60034771419,2004.6030856212,-404976222,231407147.685632
20040809,20040810,2004.6030856212,2004.6058235282,23010395.2,231319489.667429
20040810,20040811,2004.6058235282,2004.60856143521,314589678,232418191.413667
20040811,20040812,2004.60856143521,2004.61129934222,-156025723,233359763.026962
20040812,20040813,2004.61129934222,2004.61403724922,77103614.3,232948572.221424
20040813,20040814,2004.61403724922,2004.61677515623,44841703.6,232001965.077885
20040814,20040815,2004.61677515623,2004.61951306324,376722638,232418664.697997
20040815,20040816,2004.61951306324,2004.62225097025,-300152679,235066495.698558
20040816,20040817,2004.62225097025,2004.62498887725,96769781.1,235668719.81661
20040817,20040818,2004.62498887725,2004.62772678426,-454717763,233743325.680114
20040818,20040819,2004.62772678426,2004.63046469127,178504911,232083962.608363
20040819,20040820,2004.63046469127,2004.63320259827,210072077,231159031.404788
20040820,20040821,2004.63320259827,2004.63594050528,89330378.2,231327243.315611
20040821,20040822,2004.63594050528,2004.63867841229,-365127634,231440248.660426
20040822,20040823,2004.63867841229,2004.64141631929,573808271,231615466.88423
20040823,20040824,2004.64141631929,2004.6441542263,-193540381,231100173.301536
20040824,20040825,2004.6441542263,2004.64689213331,-164727358,230347575.850062
20040825,20040826,2004.64689213331,2004.64963004032,-172419594,230699110.748178
20040826,20040827,2004.64963004032,2004.65236794732,143618703,232391393.128059
20040827,20040828,2004.65236794732,2004.65510585433,-129070709,233351107.346848
20040828,20040829,2004.65510585433,2004.65784376134,95666650.1,233761749.009542
20040829,20040830,2004.65784376134,2004.66058166834,-63376381.7,235485731.202551
20040830,20040831,2004.66058166834,2004.66331957535,130254711,236081110.214265
20040831,20040901,2004.66331957535,2004.66605748236,29396745.6,233586153.699229
20040901,20040902,2004.66605748236,2004.66879538936,-148111549,237368739.30659
20040902,20040903,2004.66879538936,2004.67153329637,-197218072,236765599.274895
20040903,20040904,2004.67153329637,2004.67427120338,243113321,231719416.320687
20040904,20040905,2004.67427120338,2004.67700911039,58648320,234362563.990071
20040905,20040906,2004.67700911039,2004.67974701739,121246660,236058631.064403
20040906,20040907,2004.67974701739,2004.6824849244,16542879.3,236310618.88963
20040907,20040908,2004.6824849244,2004.68522283141,-104265054,235419255.584585
20040908,20040909,2004.68522283141,2004.68796073841,7704187.75,235139064.172672
20040909,20040910,2004.68796073841,2004.69069864542,184132476,236008225.704105
20040910,20040911,2004.69069864542,2004.69343655243,-418753078,237899112.230374
20040911,20040912,2004.69343655243,2004.69617445943,431037384,237899112.230374
20040912,20040913,2004.69617445943,2004.69891236644,-21861607.4,236296067.25462
20040913,20040914,2004.69891236644,2004.70165027345,39077978.9,233434309.817559
20040914,20040915,2004.70165027345,2004.70438818046,-37901560.2,233021352.025946
20040915,20040916,2004.70438818046,2004.70712608746,-28699257.1,234281169.537801
20040916,20040917,2004.70712608746,2004.70986399447,-125620265,233495016.863315
20040917,20040918,2004.70986399447,2004.71260190148,163106776,233108378.871288
20040918,20040919,2004.71260190148,2004.71533980848,438826259,234192604.494677
20040919,20040920,2004.71533980848,2004.71807771549,-389602222,233386284.087133
20040920,20040921,2004.71807771549,2004.7208156225,-581548283,231173746.346768
20040921,20040922,2004.7208156225,2004.7235535295,317550938,232164676.68446
20040922,20040923,2004.7235535295,2004.72629143651,133391312,234766520.824414
20040923,20040924,2004.72629143651,2004.72902934352,-213290293,235120607.348654
20040924,20040925,2004.72902934352,2004.73176725053,-179403305,231749851.995638
20040925,20040926,2004.73176725053,2004.73450515753,-21570839.6,231216987.697704
20040926,20040927,2004.73450515753,2004.73724306454,136441557,236091921.928727
20040927,20040928,2004.73724306454,2004.73998097155,305172099,236123195.599246
20040928,20040929,2004.73998097155,2004.74271887855,-149764252,231369043.737489
20040929,20040930,2004.74271887855,2004.74545678556,-57687752.3,229628400.464751
20040930,20041001,2004.74545678556,2004.74819469257,-366448234,229860444.40051
20041001,20041002,2004.74819469257,2004.75093259957,253679067,230841890.695775
20041002,20041003,2004.75093259957,2004.75367050658,68028178.5,231319368.190387
20041003,20041004,2004.75367050658,2004.75640841359,-8120459.94,230914965.084552
20041004,20041005,2004.75640841359,2004.7591463206,-19201340.8,230434964.36088
20041005,20041006,2004.7591463206,2004.7618842276,42435688.5,230266355.988017
20041006,20041007,2004.7618842276,2004.76462213461,26318366.2,230868681.288736
20041007,20041008,2004.76462213461,2004.76736004162,-39206269,232703451.19916
20041008,20041009,2004.76736004162,2004.77009794862,-304582727,236016873.33748
20041009,20041010,2004.77009794862,2004.77283585563,188758087,235582201.789524
20041010,20041011,2004.77283585563,2004.77557376264,185525985,232893472.858301
20041011,20041012,2004.77557376264,2004.77831166964,83375903.4,233107193.797189
20041012,20041013,2004.77831166964,2004.78104957665,-290178156,234069827.615607
20041013,20041014,2004.78104957665,2004.78378748366,51996457.9,234403139.484095
20041014,20041015,2004.78378748366,2004.78652539067,-66690123.6,235452928.204344
20041015,20041016,2004.78652539067,2004.78926329767,233769579,233711581.227803
20041016,20041017,2004.78926329767,2004.79200120468,-10099030.9,231389751.933831
20041017,20041018,2004.79200120468,2004.79473911169,406296277,233946409.889103
20041018,20041019,2004.79473911169,2004.79747701869,125114075,236827576.51929
20041019,20041020,2004.79747701869,2004.8002149257,-86946083.3,236793015.099686
20041020,20041021,2004.8002149257,2004.80295283271,-407235832,237305080.645148
20041021,20041022,2004.80295283271,2004.80569073971,75833956.5,235767216.550563
20041022,20041023,2004.80569073971,2004.80842864672,157133845,231393365.937747
20041023,20041024,2004.80842864672,2004.81116655373,-325485665,231370725.676348
20041024,20041025,2004.81116655373,2004.81390446074,140826807,230998219.040754
20041025,20041026,2004.81390446074,2004.81664236774,-585555043,239011805.147779
20041026,20041027,2004.81664236774,2004.81938027475,-343565480,244388531.441228
20041027,20041028,2004.81938027475,2004.82211818176,605562467,235295032.67175
20041028,20041029,2004.82211818176,2004.82485608876,-34316996.2,231598193.429914
20041029,20041030,2004.82485608876,2004.82759399577,309640336,233002978.092556
20041030,20041031,2004.82759399577,2004.83033190278,-368511680,234903697.92747
20041031,20041101,2004.83033190278,2004.83306980978,-9466596.76,236460316.120909
20041101,20041102,2004.83306980978,2004.83580771679,84756511.1,232188533.739287
20041102,20041103,2004.83580771679,2004.8385456238,61541457.7,238849003.55664
20041103,20041104,2004.8385456238,2004.8412835308,-309597184,245618879.160377
20041104,20041105,2004.8412835308,2004.84402143781,630957979,239779890.941672
20041105,20041106,2004.84402143781,2004.84675934482,-293695444,238699521.993656
20041106,20041107,2004.84675934482,2004.84949725183,-91335885.8,240626465.709822
20041107,20041108,2004.84949725183,2004.85223515883,-330182983,238366026.94176
20041108,20041109,2004.85223515883,2004.85497306584,-9791278.51,241587085.540598
20041109,20041110,2004.85497306584,2004.85771097285,163321845,245165034.415595
20041110,20041111,2004.85771097285,2004.86044887985,319686060,242676955.230611
20041111,20041112,2004.86044887985,2004.86318678686,-401352635,238267488.34031
20041112,20041113,2004.86318678686,2004.86592469387,-97346594,234068165.285243
20041113,20041114,2004.86592469387,2004.86866260087,-114408935,234474735.952512
20041114,20041115,2004.86866260087,2004.87140050788,-9322264.73,237294662.813979
20041115,20041116,2004.87140050788,2004.87413841489,380237982,237040171.911851
20041116,20041117,2004.87413841489,2004.8768763219,-72857093.2,235813886.571593
20041117,20041118,2004.8768763219,2004.8796142289,119166483,236565198.835332
20041118,20041119,2004.8796142289,2004.88235213591,64455503.5,240350345.329479
20041119,20041120,2004.88235213591,2004.88509004292,-79765905.5,247663701.014097
20041120,20041121,2004.88509004292,2004.88782794992,514224797,248035226.530427
20041121,20041122,2004.88782794992,2004.89056585693,-469077076,240623182.174952
20041122,20041123,2004.89056585693,2004.89330376394,37495688.4,241105261.659716
20041123,20041124,2004.89330376394,2004.89604167094,30424343.2,242928581.480237
20041124,20041125,2004.89604167094,2004.89877957795,275241330,238791506.758511
20041125,20041126,2004.89877957795,2004.90151748496,-272196186,240070047.694418
20041126,20041127,2004.90151748496,2004.90425539197,698247990,237929781.027933
20041127,20041128,2004.90425539197,2004.90699329897,-414557405,230778911.514896
20041128,20041129,2004.90699329897,2004.90973120598,-212502060,231562621.983773
20041129,20041130,2004.90973120598,2004.91246911299,-283753967,234734330.893459
20041130,20041201,2004.91246911299,2004.91520701999,17140216.3,237658491.537753
20041201,20041202,2004.91520701999,2004.917944927,-128241487,239559661.671159
20041202,20041203,2004.917944927,2004.92068283401,204407964,236252895.855268
20041203,20041204,2004.92068283401,2004.92342074101,241220486,232059022.233569
